accession	biosample	sample_ids	sra_sample_acc	title	platform	instrument	total_spots	total_bases	bioproject	organism_name	library_name	library_layout	library_strategy	library_source	library_selection	sra_experiment_acc	sra_run_acc	sra_study_acc	sra_submitter_acc	run_total_bases	run_total_spots	file_urls	file_size	file_md5
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1809354	22039623603	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_9	SINGLE	WGS	GENOMIC	other	SRX28167430	SRR32887372	SRP572951	SRA2101399	22039623603	1809354	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/072/SRR32887372/SRR32887372_1.fastq.gz	20698710414	14c4c9f84dc3c80fe8519b7a125d09f0
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1788737	36350578276	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_8	SINGLE	WGS	GENOMIC	other	SRX28167429	SRR32887373	SRP572951	SRA2101399	36350578276	1788737	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/073/SRR32887373/SRR32887373_1.fastq.gz	33348705507	70b1b357e4f4bce370991fcabf8ecbc9
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1022470	22360203305	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_7	SINGLE	WGS	GENOMIC	other	SRX28167428	SRR32887374	SRP572951	SRA2101399	22360203305	1022470	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/074/SRR32887374/SRR32887374_1.fastq.gz	20607036607	af905331e581936865e98eb90d16b945
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1283380	16065800213	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_6	SINGLE	WGS	GENOMIC	other	SRX28167427	SRR32887375	SRP572951	SRA2101399	16065800213	1283380	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/075/SRR32887375/SRR32887375_1.fastq.gz	15029826484	5fc9627056a5bee6a8afe97804f0e747
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ligation sequencing	OXFORD_NANOPORE	PromethION	1106998	20638613556	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ligation_fastq_2	SINGLE	WGS	GENOMIC	other	SRX28167426	SRR32887376	SRP572951	SRA2101399	20638613556	1106998	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/076/SRR32887376/SRR32887376_1.fastq.gz	18617688988	60698e5d546752633ad6089c621d0cdd
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ligation sequencing	OXFORD_NANOPORE	PromethION	1104920	20723299263	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ligation_fastq_1	SINGLE	WGS	GENOMIC	other	SRX28167425	SRR32887377	SRP572951	SRA2101399	20723299263	1104920	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/077/SRR32887377/SRR32887377_1.fastq.gz	18683395382	3b7286eefcdda4fec561db17023fe8ab
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	2021552	35929484604	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_bam_2	SINGLE	WGS	GENOMIC	size fractionation	SRX28131429	SRR32848945	SRP572951	SRA2099610	35929484604	2021552	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/045/SRR32848945/SRR32848945_subreads.fastq.gz	27617812624	6002420c8b3429ccdc0166f6c60f5e32
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1901487	33824336088	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_demux_bam_2	SINGLE	WGS	GENOMIC	size fractionation	SRX28131428	SRR32848946	SRP572951	SRA2099610	33824336088	1901487	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/046/SRR32848946/SRR32848946_subreads.fastq.gz	25788639098	523eee7be482c9de5d55e5199d3e9a7b
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1901487	33824336088	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_fastq_2	SINGLE	WGS	GENOMIC	size fractionation	SRX28131427	SRR32848947	SRP572951	SRA2099610	33824336088	1901487	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/047/SRR32848947/SRR32848947_subreads.fastq.gz	25825676844	b4f76cfcc25e180924cd003079ad1859
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	2350600	41378713884	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_5mC_bam_1	SINGLE	WGS	GENOMIC	size fractionation	SRX28131426	SRR32848948	SRP572951	SRA2099610	41378713884	2350600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/048/SRR32848948/SRR32848948_subreads.fastq.gz	30706367455	eddabb98e81ddfaeb4931e6e663d4ba4
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	0	0	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_subreads_1	SINGLE	WGS	GENOMIC	size fractionation	SRX28131425	SRR32848949	SRP572951	SRA2099610			s3://sra-pub-src-18/SRR25741043/m54159_181005_000438.subreads.bam.1	2387626133	57d3fefefe854eac57d79357b9f418ed
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	2350600	41378713884	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_bam_1	SINGLE	WGS	GENOMIC	size fractionation	SRX28131424	SRR32848950	SRP572951	SRA2099610	41378713884	2350600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/050/SRR32848950/SRR32848950_subreads.fastq.gz	30706422868	2b5f02f293bb803f515e778e04def08e
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	2235840	39345932310	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_demux_bam_1	SINGLE	WGS	GENOMIC	size fractionation	SRX28131423	SRR32848951	SRP572951	SRA2099610	39345932310	2235840	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/051/SRR32848951/SRR32848951_subreads.fastq.gz	29000215646	69e1cc0f3c42300f37156b562646e6eb
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1852963	33067817080	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_5mC_bam_4	SINGLE	WGS	GENOMIC	size fractionation	SRX28131422	SRR32848952	SRP572951	SRA2099610	33067817080	1852963	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/052/SRR32848952/SRR32848952.fastq.gz	25329863147	24699656ed54d9c83f3a1cde45d7e726
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	0	0	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_subreads_4	SINGLE	WGS	GENOMIC	size fractionation	SRX28131421	SRR32848953	SRP572951	SRA2099610			s3://sra-pub-src-18/SRR25741043/m54159_181005_000438.subreads.bam.1	2387626133	57d3fefefe854eac57d79357b9f418ed
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	2235840	39345932310	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_fastq_1	SINGLE	WGS	GENOMIC	size fractionation	SRX28131420	SRR32848954	SRP572951	SRA2099610	39345932310	2235840	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/054/SRR32848954/SRR32848954_subreads.fastq.gz	29043870813	39b41f161bce000308600ada0ed26260
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1852963	33067817080	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_bam_4	SINGLE	WGS	GENOMIC	size fractionation	SRX28131419	SRR32848955	SRP572951	SRA2099610	33067817080	1852963	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/055/SRR32848955/SRR32848955.fastq.gz	25329856762	7fe4fef94d62129f626567166e9d69fd
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1744175	31142025181	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_demux_bam_4	SINGLE	WGS	GENOMIC	size fractionation	SRX28131418	SRR32848956	SRP572951	SRA2099610	31142025181	1744175	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/056/SRR32848956/SRR32848956_subreads.fastq.gz	23623129580	48c49187a58d0906a96e514a407c5d01
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1744175	31142025181	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_fastq_4	SINGLE	WGS	GENOMIC	size fractionation	SRX28131417	SRR32848957	SRP572951	SRA2099610	31142025181	1744175	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/057/SRR32848957/SRR32848957_subreads.fastq.gz	23656735915	4e2c8c30900276ec922e67c898cec3b6
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1775715	31872272157	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_5mC_bam_3	SINGLE	WGS	GENOMIC	size fractionation	SRX28131416	SRR32848958	SRP572951	SRA2099610	31872272157	1775715	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/058/SRR32848958/SRR32848958_subreads.fastq.gz	24641824545	2bfcc59b39f6dbaec31e05624cbf6e4e
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	0	0	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_subreads_3	SINGLE	WGS	GENOMIC	size fractionation	SRX28131415	SRR32848959	SRP572951	SRA2099610			s3://sra-pub-src-18/SRR25741043/m54159_181005_000438.subreads.bam.1	2387626133	57d3fefefe854eac57d79357b9f418ed
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1775715	31872272157	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_bam_3	SINGLE	WGS	GENOMIC	size fractionation	SRX28131414	SRR32848960	SRP572951	SRA2099610	31872272157	1775715	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/060/SRR32848960/SRR32848960_subreads.fastq.gz	24641871342	21a200c3be8515e834ff19fdcf78d79d
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1672793	30037290607	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_demux_bam_3	SINGLE	WGS	GENOMIC	size fractionation	SRX28131413	SRR32848961	SRP572951	SRA2099610	30037290607	1672793	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/061/SRR32848961/SRR32848961_subreads.fastq.gz	23046413910	2d2ac4547d6e7d23faaf29b300a40b1d
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	1672793	30037290607	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_fastq_3	SINGLE	WGS	GENOMIC	size fractionation	SRX28131412	SRR32848962	SRP572951	SRA2099610	30037290607	1672793	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/062/SRR32848962/SRR32848962_subreads.fastq.gz	23079882873	bd9586838224283710aa7ac688035582
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	2021552	35929484604	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_5mC_bam_2	SINGLE	WGS	GENOMIC	size fractionation	SRX28131411	SRR32848963	SRP572951	SRA2099610	35929484604	2021552	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/063/SRR32848963/SRR32848963_subreads.fastq.gz	27617802302	5d702bdaafb1cfa73ef7245bb7baa3ec
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata PacBio HiFi sequencing	PACBIO_SMRT	Sequel II	0	0	PRJNA1241433	Taeniopygia guttata	bTaeGut7_PacBio_HiFi_subreads_2	SINGLE	WGS	GENOMIC	size fractionation	SRX28131410	SRR32848964	SRP572951	SRA2099610			s3://sra-pub-src-18/SRR25741043/m54159_181005_000438.subreads.bam.1	2387626133	57d3fefefe854eac57d79357b9f418ed
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata whole genome shotgun sequencing with Illumina reads	ILLUMINA	Illumina NovaSeq 6000	375409043	113373530986	PRJNA1241433	Taeniopygia guttata	bTaeGut7_Illumina_1	PAIRED	WGS	GENOMIC	RANDOM	SRX28131409	SRR32848965	SRP572951	SRA2099610	113373530986	375409043	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/065/SRR32848965/SRR32848965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/065/SRR32848965/SRR32848965_2.fastq.gz	26595737860;27530444192	d0908a50d21ba686d3ff3313eeeb2189;12aed6ab279449c944bbc08a2e4797ad
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata Hi-C sequencing	ILLUMINA	Illumina NovaSeq 6000	207310650	62607816300	PRJNA1241433	Taeniopygia guttata	bTaeGut7_HiC_1	PAIRED	Hi-C	GENOMIC	Restriction Digest	SRX28131408	SRR32848966	SRP572951	SRA2099610	62607816300	207310650	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/066/SRR32848966/SRR32848966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/066/SRR32848966/SRR32848966_2.fastq.gz	14917993542;15767857629	f46453b06f2ffa73199cae99c645ba53;d56580f186b94bef53863f96299ad00c
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	RNA-seq data for Chimpanzee from Lymphoblastoid cell lines	ILLUMINA	Illumina HiSeq 2000	174886212	48253930279	PRJNA1016395	Pan troglodytes	mPanTro3_RNASeq	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	SRX22859085	SRR27178647	SRP477373	SRA1766938	48253930279	174886212	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/047/SRR27178647/SRR27178647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/047/SRR27178647/SRR27178647_2.fastq.gz	9870811520;9886970234	f95a030b46612e146a4e3754764ebfbf;54dc88d6e0baf87676cb2465eda6f85b
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	Long Iso-Seq data for Chimpanzee from Lymphoblastoid cell lines	PACBIO_SMRT	Sequel II	936312	2802588414	PRJNA1016395	Pan troglodytes	mPanTro3_IsoSeq_long	SINGLE	RNA-Seq	TRANSCRIPTOMIC	PCR	SRX22859084	SRR27178648	SRP477373	SRA1766938	2802588414	936312	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/048/SRR27178648/SRR27178648_subreads.fastq.gz	1764021969	4770319163e1deb082785b9b91de0ba2
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	Standard Iso-Seq data for Chimpanzee from Lymphoblastoid cell lines	PACBIO_SMRT	Sequel II	2114487	5405121467	PRJNA1016395	Pan troglodytes	mPanTro3_IsoSeq	SINGLE	RNA-Seq	TRANSCRIPTOMIC	PCR	SRX22859083	SRR27178649	SRP477373	SRA1766938	5405121467	2114487	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/049/SRR27178649/SRR27178649_subreads.fastq.gz	2980047754	baa0eca88c4f89189fd9613f5833cf23
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	HiC data from Chimpanzee	ILLUMINA	Illumina NovaSeq 6000	629545672	190122792944	PRJNA976701	Pan troglodytes	mPanTro3_HiC	PAIRED	Hi-C	GENOMIC	Restriction Digest	SRX20969147	SRR25222499	SRP448357	SRA1670377	190122792944	629545672	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/099/SRR25222499/SRR25222499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/099/SRR25222499/SRR25222499_2.fastq.gz	34786067109;34712688354	34d2b83ade1d2df1f0ad4dd3817aec19;9de5dd630311592f29672f590e7a2023
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	Iso-seq data (Revio) for chimpanzee from lymphoblast cell lines	PACBIO_SMRT	Revio	12247697	26017824926	PRJNA1016395	Pan troglodytes	AG18354_PTR_MAS-1	SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	SRX23110502	SRR27438206	SRP477373	SRA1780477	26017824926	12247697	ftp.sra.ebi.ac.uk/vol1/fastq/SRR274/006/SRR27438206/SRR27438206_subreads.fastq.gz	12499912444	5dd29fad56bfec80e5a9e204afb8b0c4
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	Iso-seq data for chimpanzee from lymphoblast cell lines	PACBIO_SMRT	Sequel II	599604	1473607755	PRJNA1016395	Pan troglodytes	AG18354_PTR_IS-1	SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	SRX23110501	SRR27438207	SRP477373	SRA1780477	1473607755	599604	ftp.sra.ebi.ac.uk/vol1/fastq/SRR274/007/SRR27438207/SRR27438207_subreads.fastq.gz	862496939	7cf53fdf3cf42f8ca21597c4f3f20b57
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	Pan troglodytes raw sequence reads	OXFORD_NANOPORE	PromethION	2808508	72881401514	PRJNA976701	Pan troglodytes	BET0008_1_PAJ02170	SINGLE	WGS	GENOMIC	RANDOM	SRX22404051	SRR26704421	SRP448357	SRA1746925	72881401514	2808508	ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/021/SRR26704421/SRR26704421_1.fastq.gz	20459593016	fa0acdbab6d01212e530c3139599843f
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	Pan troglodytes raw sequence reads	OXFORD_NANOPORE	PromethION	1799550	47321445961	PRJNA976701	Pan troglodytes	BET0008_1_PAJ00617	SINGLE	WGS	GENOMIC	RANDOM	SRX22404050	SRR26704422	SRP448357	SRA1746925	47321445961	1799550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/022/SRR26704422/SRR26704422_1.fastq.gz	13211616491	a189b4303130efe1576dc8b09d5cf441
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	Pan troglodytes raw sequence reads	OXFORD_NANOPORE	PromethION	2363624	81944802039	PRJNA976701	Pan troglodytes	BET0008_1_PAJ00590	SINGLE	WGS	GENOMIC	RANDOM	SRX22404049	SRR26704423	SRP448357	SRA1746925	81944802039	2363624	ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/023/SRR26704423/SRR26704423_1.fastq.gz	22817523343	d504fe76c163e4441049873bd3c20b89
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	Pan troglodytes raw sequence reads	OXFORD_NANOPORE	PromethION	3815920	110032895871	PRJNA976701	Pan troglodytes	BET0008_1_PAI87388	SINGLE	WGS	GENOMIC	RANDOM	SRX22404048	SRR26704424	SRP448357	SRA1746925	110032895871	3815920	ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/024/SRR26704424/SRR26704424_1.fastq.gz	30839747420	cdde4f06cd2d7ced7b460c9929ba3e07
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	Pan troglodytes raw sequence reads	OXFORD_NANOPORE	PromethION	2517626	67478997661	PRJNA976701	Pan troglodytes	BET0008_1_PAI87018	SINGLE	WGS	GENOMIC	RANDOM	SRX22404047	SRR26704425	SRP448357	SRA1746925	67478997661	2517626	ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/025/SRR26704425/SRR26704425_1.fastq.gz	18861060681	33ebafd6a595e288eedf0c2198a99c94
GCF_028858775.2	SAMN30216104	SRA:SRS18241964	SRS18241964	WGS of chimpanzee: lymphoblastoid	PACBIO_SMRT	Sequel II	0	0	PRJNA976701	Pan troglodytes	m64076_210810_005444_2	SINGLE	WGS	GENOMIC	RANDOM	SRX21896400	SRR26184468	SRP448357	SRA1720122			s3://sra-pub-src-18/SRR25741043/m54159_181005_000438.subreads.bam.1	2387626133	57d3fefefe854eac57d79357b9f418ed
