strain	taxonomyId	accession	currentAccession	isRef	level	assemblyStatus	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	taxonomicLevelSerotype	taxonomicLevelIsolate	taxonomicLevelDomainId	taxonomicLevelRealmId	taxonomicLevelKingdomId	taxonomicLevelPhylumId	taxonomicLevelClassId	taxonomicLevelOrderId	taxonomicLevelFamilyId	taxonomicLevelGenusId	taxonomicLevelSpeciesId	taxonomicLevelStrainId	taxonomicLevelSerotypeId	taxonomicLevelIsolateId	commonName	otherTaxa	ucscBrowser	geneModelUrl
NRRL3357	332952	GCA_000006275.3	GCA_000006275.3	False	Scaffold	current		36852131	282	2388123	6	5	48.5			Aspergillus flavus	5059	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5059,332952	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus flavus	Aspergillus flavus NRRL3357			2759		4751	4890	147545	5042	1131492	5052	5059	332952					https://genome.ucsc.edu/h/GCA_000006275.3	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/006/275/GCA_000006275.3/genes/GCA_000006275.3_JCVI-afl1-v3.0.ncbiGene.gtf.gz
MYA-3404	294747	GCA_000006335.3	GCA_000006335.3	True	Scaffold	current		14579835	23	1654078	4	8.85	33.0		GCF_000006335.3	Candida tropicalis	5482	1,131567,2759,33154,4751,451864,4890,716545,147537,3239874,2916678,766764,1535325,5475,5482,294747	Ascomycota	Eukaryota		Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida tropicalis	Candida tropicalis MYA-3404			2759		4751	4890	3239874	2916678	766764	5475	5482	294747					https://genome.ucsc.edu/h/GCA_000006335.3	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/006/335/GCA_000006335.3/genes/GCA_000006335.3_ASM633v3.ncbiGene.gtf.gz
ATCC 50983	423536	GCA_000006405.1	GCA_000006405.1	True	Scaffold	current		86605074	17897	157560	124		47.5		GCF_000006405.1	Perkinsus marinus	31276	1,131567,2759,2698737,33630,2497438,27997,27998,27999,28000,31276,423536		Eukaryota			Perkinsozoa		Perkinsida	Perkinsidae	Perkinsus	Perkinsus marinus	Perkinsus marinus ATCC 50983			2759			2497438		27998	27999	28000	31276	423536					https://genome.ucsc.edu/h/GCA_000006405.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/006/405/GCA_000006405.1/genes/GCA_000006405.1_JCVI_PMG_1.0.ncbiGene.gtf.gz
FGSC A4	227321	GCA_000011425.1	GCA_000011425.1	True	Chromosome	current	8.0	29828291	8	3704807	4		50.5		GCF_000011425.1	Aspergillus nidulans	162425	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720870,162425,227321	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	Aspergillus nidulans FGSC A4			2759		4751	4890	147545	5042	1131492	5052	162425	227321					https://genome.ucsc.edu/h/GCA_000011425.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/011/425/GCA_000011425.1/genes/GCA_000011425.1_ASM1142v1.ncbiGene.gtf.gz
JEC21	214684	GCA_000091045.1	GCA_000091045.1	True	Chromosome	current	14.0	19051922	14	1438950	6		48.5		GCF_000091045.1	Cryptococcus deneoformans	40410	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,40410,214684	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus deneoformans	Cryptococcus deneoformans JEC21			2759		4751	5204	155616	5234	1884633	5206	40410	214684					https://genome.ucsc.edu/h/GCA_000091045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/091/045/GCA_000091045.1/genes/GCA_000091045.1_ASM9104v1.ncbiGene.gtf.gz
	284813	GCA_000091225.2	GCA_000091225.2	True	Chromosome	current	11.0	2497519	11	220294	6		47.5		GCF_000091225.2	Encephalitozoon cuniculi	6035	1,131567,2759,33154,4751,112252,6029,6032,36734,6033,6035,284813	Microsporidia	Eukaryota		Fungi	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon cuniculi	Encephalitozoon cuniculi GB-M1			2759		4751	6029			36734	6033	6035	284813					https://genome.ucsc.edu/h/GCA_000091225.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/091/225/GCA_000091225.2/genes/GCA_000091225.2_ASM9122v2.ncbiGene.gtf.gz
DAOM BR144	431595	GCA_000143045.1	GCA_000143045.1	True	Scaffold	current		44913463	975	837833	19	7.94	52.5			Globisporangium ultimum	2052682	1,131567,2759,2698737,33634,4762,3418804,121069,4782,1448052,2052682,431595	Oomycota	Eukaryota			Oomycota	Peronosporomycetes	Pythiales	Pythiaceae	Globisporangium	Globisporangium ultimum	Globisporangium ultimum DAOM BR144			2759			4762	3418804	121069	4782	1448052	2052682	431595					https://genome.ucsc.edu/h/GCA_000143045.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/143/045/GCA_000143045.1/genes/GCA_000143045.1_pug.augustus.gtf.gz
H4-8	578458	GCA_000143185.2	GCA_000143185.2	True	Scaffold	current		38670379	25	2560162	6	8.29	57.5		GCF_000143185.2	Schizophyllum commune	5334	1,131567,2759,33154,4751,451864,5204,5302,155619,452333,5338,2985477,5332,5333,5334,578458	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune	Schizophyllum commune H4-8			2759		4751	5204	155619	5338	5332	5333	5334	578458					https://genome.ucsc.edu/h/GCA_000143185.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/143/185/GCA_000143185.2/genes/GCA_000143185.2_Schco3.ncbiGene.gtf.gz
PB2801	135651	GCA_000143925.2	GCA_000143925.2	False	Scaffold	current		190369721	3305	381961	120	9.5	38.5			Caenorhabditis brenneri	135651	1,131567,2759,33154,33208,6072,33213,33317,1206794,6231,119089,6236,2301116,2301119,55879,6243,55885,6237,135651	Nematoda	Eukaryota		Metazoa	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis brenneri				2759		33208	6231	119089	6236	6243	6237	135651						https://genome.ucsc.edu/h/GCA_000143925.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/143/925/GCA_000143925.2/genes/GCA_000143925.2_C_brenneri-6.0.1b.ncbiGene.gtf.gz
ATCC 50506	876142	GCA_000146465.1	GCA_000146465.1	True	Chromosome	current	11.0	2216898	11	204910	5		41.5		GCF_000146465.1	Encephalitozoon intestinalis	58839	1,131567,2759,33154,4751,112252,6029,6032,36734,6033,58839,876142	Microsporidia	Eukaryota		Fungi	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon intestinalis	Encephalitozoon intestinalis ATCC 50506			2759		4751	6029			36734	6033	58839	876142					https://genome.ucsc.edu/h/GCA_000146465.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/146/465/GCA_000146465.1/genes/GCA_000146465.1_ASM14646v1.ncbiGene.gtf.gz
DF5081	281687	GCA_000147155.1	GCA_000147155.1	False	Scaffold	current		166256191	18817	94149	429	22	39.0			Caenorhabditis japonica	281687	1,131567,2759,33154,33208,6072,33213,33317,1206794,6231,119089,6236,2301116,2301119,55879,6243,55885,6237,281687	Nematoda	Eukaryota		Metazoa	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis japonica				2759		33208	6231	119089	6236	6243	6237	281687						https://genome.ucsc.edu/h/GCA_000147155.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/147/155/GCA_000147155.1/genes/GCA_000147155.1_C_japonica-7.0.1.augustus.gtf.gz
FGSC A4	227321	GCA_000149205.2	GCA_000149205.2	False	Scaffold	current	8.0	30242742	90	2478513	5		50.5		GCF_000149205.2	Aspergillus nidulans	162425	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720870,162425,227321	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans	Aspergillus nidulans FGSC A4			2759		4751	4890	147545	5042	1131492	5052	162425	227321					https://genome.ucsc.edu/h/GCA_000149205.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/205/GCA_000149205.2/genes/GCA_000149205.2_ASM14920v2.ncbiGene.gtf.gz
H99	235443	GCA_000149245.3	GCA_000149245.3	True	Chromosome	current	14.0	18891193	14	1422463	6	11.8	48.0		GCF_000149245.1	Cryptococcus neoformans	5207	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,5207,235443	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans	Cryptococcus neoformans H99			2759		4751	5204	155616	5234	1884633	5206	5207	235443					https://genome.ucsc.edu/h/GCF_000149245.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/245/GCA_000149245.3/genes/GCA_000149245.3_CNA3.ncbiGene.gtf.gz
RA 99-880	246409	GCA_000149305.1	GCA_000149305.1	True	Scaffold	current		46087117	81	3104119	6	14	35.5		GCF_000149305.1	Rhizopus delemar	936053	1,131567,2759,33154,4751,112252,1913637,451507,2212703,4827,1344963,1344955,4842,936053,246409	Mucoromycota	Eukaryota		Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar	Rhizopus delemar RA 99-880			2759		4751	1913637	2212703	4827	1344955	4842	936053	246409					https://genome.ucsc.edu/h/GCA_000149305.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/305/GCA_000149305.1/genes/GCA_000149305.1_RO3.ncbiGene.gtf.gz
RS	246410	GCA_000149335.2	GCA_000149335.2	True	Scaffold	current		28947925	6	4323945	3		46.0		GCF_000149335.2	Coccidioides immitis	5501	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,5501,246410	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	Coccidioides immitis RS			2759		4751	4890	147545	33183	33184	5500	5501	246410					https://genome.ucsc.edu/h/GCA_000149335.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/335/GCA_000149335.2/genes/GCA_000149335.2_ASM14933v2.ncbiGene.gtf.gz
B-3501A	283643	GCA_000149385.1	GCA_000149385.1	False	Chromosome	current	14.0	19699782	14	1461964	5		48.5		GCF_000149385.1	Cryptococcus deneoformans	40410	1,131567,2759,33154,4751,451864,5204,5302,155616,5234,1884633,5206,1897064,40410,283643	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus deneoformans	Cryptococcus deneoformans B-3501A			2759		4751	5204	155616	5234	1884633	5206	40410	283643					https://genome.ucsc.edu/h/GCF_000149385.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/385/GCA_000149385.1/genes/GCA_000149385.1_ASM14938v1.ncbiGene.gtf.gz
ATCC 6260	294746	GCA_000149425.1	GCA_000149425.1	True	Scaffold	current		10609954	9	1701016	3		44.0		GCF_000149425.1	Meyerozyma guilliermondii	4929	1,131567,2759,33154,4751,451864,4890,716545,147537,3239874,2916678,766764,766728,4929,294746	Ascomycota	Eukaryota		Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Meyerozyma	Meyerozyma guilliermondii	Meyerozyma guilliermondii ATCC 6260			2759		4751	4890	3239874	2916678	766764	766728	4929	294746					https://genome.ucsc.edu/h/GCA_000149425.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/425/GCA_000149425.1/genes/GCA_000149425.1_ASM14942v1.ncbiGene.gtf.gz
WO-1	294748	GCA_000149445.2	GCA_000149445.2	False	Chromosome	current	8.0	14417669	16	1768732	3		33.5			Candida albicans	5476	1,131567,2759,33154,4751,451864,4890,716545,147537,3239874,2916678,766764,1535325,5475,5476,294748	Ascomycota	Eukaryota		Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida albicans	Candida albicans WO-1			2759		4751	4890	3239874	2916678	766764	5475	5476	294748					https://genome.ucsc.edu/h/GCA_000149445.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/445/GCA_000149445.2/genes/GCA_000149445.2_ASM14944v2.ncbiGene.gtf.gz
7600	334819	GCA_000149555.1	GCA_000149555.1	True	Chromosome	current	11.0	41791161	36	1959799	8		48.5		GCF_000149555.1	Fusarium verticillioides	117187	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171627,117187,334819	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium verticillioides	Fusarium verticillioides 7600			2759		4751	4890	147550	5125	110618	5506	117187	334819					https://genome.ucsc.edu/h/GCA_000149555.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/555/GCA_000149555.1/genes/GCA_000149555.1_ASM14955v1.ncbiGene.gtf.gz
NAm1	2059318	GCA_000149585.1	GCA_000149585.1	True	Scaffold	current		32988475	275	2885091	4		46.0		GCF_000149585.1	Histoplasma mississippiense (nom. inval.)	2059318	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,5036,2617678,2059318	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma mississippiense (nom. inval.)				2759		4751	4890	147545	33183	299071	5036	2059318						https://genome.ucsc.edu/h/GCF_000149585.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/585/GCA_000149585.1/genes/GCA_000149585.1_ASM14958v1.ncbiGene.gtf.gz
NIH2624	341663	GCA_000149615.1	GCA_000149615.1	True	Scaffold	current		29331195	26	1912493	7		53.0		GCF_000149615.1	Aspergillus terreus	33178	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,33178,341663	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus terreus	Aspergillus terreus NIH2624			2759		4751	4890	147545	5042	1131492	5052	33178	341663					https://genome.ucsc.edu/h/GCA_000149615.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/615/GCA_000149615.1/genes/GCA_000149615.1_ASM14961v1.ncbiGene.gtf.gz
GT1	507601	GCA_000149715.2	GCA_000149715.2	False	Scaffold	current		65040897	1601	2734372	7	67.44	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,507601	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii GT1			2759			5794	1280412	75739	5809	5810	5811	507601					https://genome.ucsc.edu/h/GCA_000149715.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/715/GCA_000149715.2/genes/GCA_000149715.2_TGGT1.ncbiGene.gtf.gz
H538.4	396776	GCA_000149815.1	GCA_000149815.1	False	Scaffold	current		27732018	553	369304	23		47.0			Coccidioides immitis	5501	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,5501,396776	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	Coccidioides immitis H538.4			2759		4751	4890	147545	33183	33184	5500	5501	396776					https://genome.ucsc.edu/h/GCA_000149815.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/815/GCA_000149815.1/genes/GCA_000149815.1_ASM14981v1.ncbiGene.gtf.gz
JEL423	403673	GCA_000149865.1	GCA_000149865.1	False	Scaffold	current		23722384	69	1707251	5	7.4	39.5			Batrachochytrium dendrobatidis	109871	1,131567,2759,33154,4751,112252,4761,2683659,451435,451442,1142503,100474,109871,403673	Chytridiomycota	Eukaryota		Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Batrachochytrium	Batrachochytrium dendrobatidis	Batrachochytrium dendrobatidis JEL423			2759		4751	4761	451435	451442		100474	109871	403673					https://genome.ucsc.edu/h/GCA_000149865.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/865/GCA_000149865.1/genes/GCA_000149865.1_BD_JEL423.ncbiGene.gtf.gz
RMSCC 2394	404692	GCA_000149895.1	GCA_000149895.1	False	Scaffold	current		28816906	23	3573598	4		46.0			Coccidioides immitis	5501	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,5501,404692	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	Coccidioides immitis RMSCC 2394			2759		4751	4890	147545	33183	33184	5500	5501	404692					https://genome.ucsc.edu/h/GCA_000149895.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/895/GCA_000149895.1/genes/GCA_000149895.1_ASM14989v1.ncbiGene.gtf.gz
CRL 75-36-700-3	418459	GCA_000149925.1	GCA_000149925.1	True	Scaffold	current		88644628	392	964966	30		43.5		GCF_000149925.1	Puccinia graminis	5297	1,131567,2759,33154,4751,451864,5204,29000,162484,5258,5262,5296,5297,56615,418459	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia graminis	Puccinia graminis f. sp. tritici CRL 75-36-700-3			2759		4751	5204	162484	5258	5262	5296	5297	418459					https://genome.ucsc.edu/h/GCF_000149925.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/925/GCA_000149925.1/genes/GCA_000149925.1_ASM14992v1.ncbiGene.gtf.gz
4287	426428	GCA_000149955.2	GCA_000149955.2	False	Chromosome	current	15.0	61386934	114	1976106	11		48.5		GCF_000149955.1	Fusarium oxysporum	5507	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171631,5507,59765,426428	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum	Fusarium oxysporum f. sp. lycopersici 4287			2759		4751	4890	147550	5125	110618	5506	5507	426428					https://genome.ucsc.edu/h/GCF_000149955.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/955/GCA_000149955.2/genes/GCA_000149955.2_ASM14995v2.ncbiGene.gtf.gz
VEG	432359	GCA_000150015.2	GCA_000150015.2	False	Scaffold	current		64472073	1340	3773819	7	77.38	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,398031,432359	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii VEG			2759			5794	1280412	75739	5809	5810	5811	432359					https://genome.ucsc.edu/h/GCA_000150015.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/015/GCA_000150015.2/genes/GCA_000150015.2_TGVEG.ncbiGene.gtf.gz
